run_id,initial_state,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,is_nash_equilibrium,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
sweep_seed_3736624461,"(0.0, 1.0, 1.0)",617.7245483398438,710.6050415039062,92.8804931640625,1766.9440615177155,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(0, 1, 1)",3736624461,classic_reinforce_1000exps_250batched_episodes,False,-2.4962613582611084,344.4033508300781,-8.823752403259277,264.81597900390625,-6.812166690826416,264.7149658203125
sweep_seed_4075413513,"(0.0, 1.0, 1.0)",617.7245483398438,710.6050415039062,92.8804931640625,1742.7607989311218,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(0, 1, 1)",4075413513,classic_reinforce_1000exps_250batched_episodes,False,-1.9237124919891357,344.0827941894531,-8.970335960388184,264.4823303222656,-17.41584587097168,264.5142822265625
sweep_seed_411878496,"(0.0, 1.0, 1.0)",617.7245483398438,710.6050415039062,92.8804931640625,1735.0293805599213,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(0, 1, 1)",411878496,classic_reinforce_1000exps_250batched_episodes,False,-9.454585075378418,343.90289306640625,-12.568133354187012,264.4234924316406,-10.13133430480957,264.3117370605469
sweep_seed_1065858366,"(2.0, 0.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1752.720584154129,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 0)",1065858366,classic_reinforce_1000exps_250batched_episodes,False,-4.55630350112915,344.5434875488281,-8.382360458374023,264.9818420410156,-7.084259510040283,264.9204406738281
sweep_seed_1508193007,"(2.0, 0.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1769.2985334396362,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 0)",1508193007,classic_reinforce_1000exps_250batched_episodes,False,-9.241362571716309,344.9093017578125,-5.523526668548584,265.29351806640625,-7.6815948486328125,265.3222351074219
sweep_seed_1526631005,"(2.0, 0.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1721.6355471611023,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 0)",1526631005,classic_reinforce_1000exps_250batched_episodes,False,-3.0865964889526367,344.69964599609375,-6.747473239898682,265.11114501953125,-5.215133190155029,265.0467224121094
sweep_seed_2042481486,"(2.0, 0.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1749.2850391864777,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 0)",2042481486,classic_reinforce_1000exps_250batched_episodes,False,-8.462410926818848,344.6771545410156,-6.3334126472473145,265.13421630859375,-5.465573310852051,265.0838623046875
sweep_seed_2125957013,"(2.0, 0.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1756.8991484642029,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 0)",2125957013,classic_reinforce_1000exps_250batched_episodes,False,-9.084920883178711,344.0829162597656,-8.960626602172852,264.6036071777344,-8.677157402038574,264.5991516113281
sweep_seed_2178468225,"(2.0, 0.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1755.594215631485,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 0)",2178468225,classic_reinforce_1000exps_250batched_episodes,False,-6.912145137786865,344.2754211425781,-8.841141700744629,264.7518615722656,-10.051456451416016,264.7351989746094
sweep_seed_261325898,"(2.0, 0.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1760.3569355010986,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 0)",261325898,classic_reinforce_1000exps_250batched_episodes,False,-15.977766036987305,343.1683044433594,-10.44955062866211,263.74859619140625,-14.204427719116211,263.86907958984375
